"id";"type_auto"
1;"SUV"
2;"Sédan"
3;"Hatchback"
4;"Coupe"
5;"Sport"
6;"Convertible"
7;"Utilitario"
8;"Coupe"
9;"Sedan"
10;"Coupe, Sedan"
11;"Hatchback, Sedan"
12;"Sedan, Hatchback"
13;"Sedan, Coupe"
14;"SUV"
15;"Convertible"
16;"Convertible, Coupe"
17;"Coupe, Convertible"
18;"Sedan, Wagon"
19;"Wagon, Sedan"
20;"Convertible, Sedan"
21;"Sedan, Convertible"
22;"Wagon"
23;"Convertible, Sedan, Wagon"
24;"Convertible, Wagon, Sedan"
25;"Sedan, Wagon, Convertible"
26;"Wagon, Sedan, Convertible"
27;"Coupe, Convertible, Sedan"
28;"Coupe, Sedan, Convertible"
29;"Wagon, Convertible, Sedan"
30;"Convertible,Sedan,Coupe"
31;"Sedan, Coupe, Convertible"
32;"Hatchback, Convertible"
33;"Convertible, Sedan, Coupe"
34;"Sedan, Convertible, Coupe"
35;"Coupe, Convertible, Wagon, Sedan"
36;"Coupe, Hatchback, Convertible, Sedan"
37;"Coupe, Sedan, Convertible, Wagon"
38;"Coupe, Sedan, Wagon, Convertible"
39;"Hatchback, Coupe, Sedan, Convertible"
40;"Hatchback, Sedan, Coupe, Convertible"
41;"Sedan, Convertible, Coupe, Wagon"
42;"Sedan, Coupe, Convertible, Wagon"
43;"Sedan, Coupe, Wagon, Convertible"
44;"Sedan, Wagon, Convertible, Coupe"
45;"Hatchback"
46;"Convertible, Coupe, Sedan"
47;"Convertible, Hatchback"
48;"Coupe, Sedan, Wagon"
49;"Sedan, Wagon, Coupe"
50;"Van/Minivan"
51;"Sedan, Coupe, Wagon"
52;"Pickup"
53;"Hatchback, Sedan, Convertible"
54;"Convertible, Coupe, Hatchback"
55;"Convertible,Coupe"
56;"Wagon, Convertible"
57;"Wagon, Sedan, Hatchback"
58;"Sedan, Hatchback, Wagon"
59;"Hatchback, Sedan, Wagon"
60;"Hatchback, Wagon"
61;"Sedan, Wagon, Hatchback"
62;"Coupe,Convertible"
63;"Coupe, Hatchback"
64;"Coupe, Wagon, Sedan"
65;"Coupe, Hatchback, Sedan"
66;"Coupe, Sedan, Hatchback"
67;"Hatchback, Sedan, Coupe"
68;"Hatchback,Sedan"
69;"Sedan, Coupe, Hatchback"
70;"SUV, Wagon"
71;"Wagon, SUV"
72;"SUV, Pickup"
73;"Sedan, Hatchback, Coupe"
74;"Convertible, Sedan, Coupe, Wagon"
75;"Convertible, Wagon, Coupe, Sedan"
76;"Coupe, Convertible, Sedan, Wagon"
77;"Coupe, Wagon, Sedan, Convertible"
78;"Sedan, Wagon, Coupe, Convertible"
79;"Hatchback, Coupe, Convertible"
80;"Coupe, Hatchback, Convertible"
81;"Sedan, Hatchback, Convertible"
82;"Sedan, Convertible, Wagon"
83;"Wagon, Sedan, Coupe"
84;"Wagon,Sedan"
85;"Coupe, Convertible, Hatchback"
86;"Hatchback, Convertible, Coupe"
87;"Hatchback, Coupe"
88;"SUV1992"
89;"SUV2020"
